nama_dosen,keahlian
"Dr.Bisdan Sigalingging,S.H.,M.H",hukum bisnis
"Dr. Ahmad fauzi,S.H.,M.Kn",geofisika
"Padian Adi Salamat Siregar,S.H.,M.H","Hukum Acara Pidana,Hukum Acara Perdata,Hukum Perlindungan Konsumen,Hukum Lingkungan dan SDA"
"Isnina,S.H.,M.H","Hukum Waris Islam,Hukum Waris Perdata BW"
"Taufik Hidayat Lubis,S.S.,S.H.,M.H","Hukum Perdata, Hukum Perikatan, Hukum Acara Perdata, Bahasa Inggris Hukum, Sejarah Hukum"
"Benito Ashdie Kodiyat MS.,S.H.,M.H",hukum
"Dr.Ismail Koto,S.H.,MH","Hukum HKI, Hukum Kejahatan Bisnis, Hukum Informasi dan Transaksi Elektronik, Hukum Kesehatan"
"Dr. Eka N.A.M Sihombing, S.H.,M.Hum","Ilmu Perundang Undangan, Hukum Tata Negara, Legislative Drafting, Hukum Pemerintahan Daerah"
"Dr.R.Juli Moertiono,S.H.,M.Kn.,M.H.",Ilmu hukum
"Rahmat Ramadhani,S.H.,M.H","Hukum Agraria, Hukum Administrasi Negara"
"Dr.farid Wajdi,S.H.,M.H",hukum islam
"Erwin Asmadi ,S.H.,M.H","Ilmu Hukum, Hukum Pidana, Hukum Acara Pidana, IT Law"
"Muhammad Nasir Sitompul,S.H.,M.H",ilmu hukum
"Andryan,S.H.,M.H","Hukum Tata Negara, Legal Drafting, Kebijakan Publik"
"Dr.Tengku Erwinsyahbana,S.H.,M.Hum.",Ilmu Hukum
"Dr.Adi Mansar,S.H.,M.Hum",Ilmu hukum pidana
"Dr.Masitah Pohan,S.H.,S.Hum",ilmu hukum
"Khairil Azmi NST,S.H.,M.A","Kemuhammadiyahan, Hukum Wakaf & Zakat, Hukum Ekonomi Islam, Hukum Pidana Islam, Filsafat Hukum Islam"
"Faizal Hamzah Lubis,S.Sos,M,I.Kom","Komunikasi, Sosiologi Komunikasi, Desain Grafis"
"Dr.Ribut Priadi,S.Sos.,M.I.Kom",Komunikasi
"Corry Novrica AP.Sinaga,S.Sos.,M.A","Ilmu Komunikasi, Media PenyiaranMedia Sosial dan Media Digital, Media Management Technology"
"Dr.Akhyar Anshori,S.Sos.,M.I.Kom","Communication, Politicsand Culture of political communication"
"Dr.Sigit Hardiyanto,S.Sos,M.I.Kom","Komunikasi Antarpersonal, Sosiologi Komunikasi"
"Prof.Yan Hendra,Drs.,M.Si","kominikasi, komunikasi interpersonal, komunikasi islam"
"Nurhasanah Nasution,S.Sos.,M.I.Kom","Broadcasting, Jurnalistik, PR"
"Dr.Muhammad Thariq,S.SOS.,M.I.Kom","Komunikasi, Media Massa dan Jurnalistik"
"Elvita Yenni,S.S.,M.Hum",Ilmu Komunikasi
"Dr.Puji Santoso,S.S.,M.SP","Jurnalistik dan Media Digital, Komunikasi Islam, Metodologi Penelitian Komunikasi"
"Tenerman,S.Sos.,M.I.Kom",ilmu komunikasi
"Dr.Irwan Syari Tanjung,S.Sos.,MAP",ilmu komunikasi
"Dr.Mujahiddin,S,Sos.,msp","Pemberdayaan Masyarakat, Studi Pembangunan dan Kesejahteraan Sosial"
"Dr.Lutfi Basit,S.Sos.,M.I.Kom","komunikasi, komunikasi islam"
"Dr.Zulfahmi, M.I.Kom",ilmu komunikasi
"Dr.Faustyna,S.Sos.,M.M.,M.I.Kom",komunikasi
"Dr.Abrar Adhani.,M.I.Kom","Political Communication, Communication Interpersonal"
"Syafruddin,S.Sos.,M.H",Akuntansi Pemerintahan
"Dr.Leylia Khairani,M.Si","Antropologi Pariwisata, Gender Studies, Kajian Budaya"
"Irwansyahri Tanjung,S.Sos.,M.Ap",Ilmu Komunikasi
"Dr.Muhammad Said Harahap,S.Sos.,M.I.Kom","Fotografi, Foto Jurnalistik, Management Media MassaTeori, Komunikuasi, Komunikasi Antar Budaya"
"Dr.Anang Anas Azhar,M.A",Komunikasi Politik Islam
"Dr.Arifin Saleh .,S.Sos.,MSP","Kesejahteraan Sosial, Pemberdayaan Masyarakat, Pengembangan Wilayah"
"Dr.Widya Masitah,S.Psi.,M.Psi","Metode Pengembangan Sosial Emosional, Bermain dan Permainan"
"Dr.Muhammad Ruslan,M.Pd",Pendidikan Islam
"Dr.Selamat Pohan,MA","Ilmu Pendidikan Islam,Strategi Pembelajaran, Kapita Selekta Pendidikan, Ekonomi Syariah, Lembaga Keuangan Syariah"
"Nurul ZahrianiJf,M.Pd","Pendidikan Islam Anak Usia Dini, InklusiKarakter AUD, Media Pembelajaran"
"Dr.Rizka Harfiani,M.Psi","Pendidikan Anak Usia Dini, Pendidikan Agama Islam, Media Pembelajaran"
"Mavianti,M.A","Islamic Education, Islamic Studies, Islamic Communication, Entrepreneurship"
"Dr.Robie Fanreza,M.Pd.I","HumanioraTeknologi Informasi Pendidikan, Kemuhammadiyahan, Media Pembelajaran"
"Dr.Ellisa Fitri Tanjung,M.A","Pendidikan Agama Islam, Pengembangan Kurikulum PAI, Metodologi PAI"
"Dr.Hasrian Rudi,M.Pd.I","Media Pembelajaran, Teknologi Pendidikan, Manajemen Pendidikan IslamIlmu Pendidikan Islam"
"Dr.Arwin Juli Rakhmadi,MA","Ilmu Falak, Sejarah Astronomi, Filologi"
"Zuliana,M.Pd",Pendidikan Agama Islam
"Dr.Zailani,M.A",Pendidikan Islam
"Dr.Abd. Rahman,M.Pd","Tafsir Tarbawiy, Filsafat Pendidikan Islam, Hadist Tarbawiy, Tahsin Tilawah Al-Qur'an, Ilmu Al-Qur'an"
